id;long_deg;lat_deg;Time_s_AVG;Relevage;Actif/passif;traction;patinage
27864;4.390766667;50.54046944;33189.92902;30.8;1;-720;5.8
29621;4.393811111;50.54134444;34946.84412;30.8;1;-720;6.1
30073;4.393788889;50.54139167;35398.77333;30.8;1;-720;6.3
30582;4.392702778;50.54114722;35907.77172;30.8;1;-720;5.5
31506;4.394427778;50.54163056;36831.73459;30.8;1;-720;8.2
29712;4.391016667;50.54068611;35037.83086;30.8;1;-695.4545455;9.2
10;4.387955556;50.53748611;5336.34887;30.8;1;-675;0
31079;4.392333333;50.54111944;36404.71784;30.8;1;-675;8
28755;4.391397222;50.54070556;34080.8822;30.8;1;-630;7.4
30064;4.394069444;50.54144444;35389.80559;30.8;1;-630;5.4
62977;4.387669444;50.54013333;115556.8038;30.8;1;-630;4.3
25802;4.392358333;50.54070556;31128.01366;30.8;1;-585;4.8
29148;4.393797222;50.54130556;34473.82768;30.8;1;-585;2.1
29406;4.389261111;50.54021667;34731.89167;30.8;1;-585;8.5
63081;4.387777778;50.53894722;115660.7911;30.8;1;-585;11.2
26340;4.390558333;50.54031389;31665.99814;30.8;1;-540;10.6
28656;4.394452778;50.54138889;33981.89421;30.8;1;-540;6.9
28673;4.393936111;50.54129722;33998.88213;30.8;1;-540;7
29661;4.392580556;50.54104722;34986.83729;30.8;1;-540;3.8
30581;4.392736111;50.54115278;35906.76741;30.8;1;-540;5.6
31075;4.392452778;50.54115;36400.70992;30.8;1;-540;7.4
25858;4.390655556;50.54028056;31184.00988;30.8;1;-495;12.1
26227;4.394019444;50.54114722;31553.02321;30.8;1;-495;6.1
29614;4.394025;50.54139444;34939.82877;30.8;1;-495;7.2
30655;4.390469444;50.54061944;35980.75258;30.8;1;-495;5
62965;4.387663889;50.54028611;115544.8175;30.8;1;-495;2.1
11;4.387955556;50.53748611;5337.350613;30.8;1;-450;0
25792;4.392672222;50.54077778;31117.99609;30.8;1;-450;3.3
26318;4.391222222;50.54047222;31644.00368;30.8;1;-450;5.8
28677;4.393811111;50.54127222;34002.89909;30.8;1;-450;6.9
29632;4.393463889;50.54126667;34957.81859;30.8;1;-450;4.1
29655;4.392763889;50.54109444;34980.82879;30.8;1;-450;1.6
30604;4.392027778;50.54098889;35929.78229;30.8;1;-450;5.8
28435;4.387947222;50.53978056;33760.88795;30.8;1;-405;2.8
29853;4.3884;50.54004167;35178.82913;30.8;1;-405;4.8
9;4.387952778;50.53748611;5335.346313;30.8;1;-360;0
25857;4.390683333;50.54028889;31183.03075;30.8;1;-360;10.88888889
25865;4.390455556;50.54022778;31190.97615;30.8;1;-360;10
28731;4.392138889;50.54088056;34056.87861;30.8;1;-360;1.8
29654;4.392791667;50.54110278;34979.82862;30.8;1;-360;3.2
62986;4.387677778;50.54000556;115565.8297;30.8;1;-360;24.3
26224;4.394113889;50.54116944;31550.0153;30.8;1;-315;5.4
28674;4.393902778;50.54129167;33999.88665;30.8;1;-315;6.3
31082;4.392244444;50.54109722;36407.72654;30.8;1;-315;8.3
26220;4.394238889;50.54119722;31546.00539;30.8;1;-270;4.3
29222;4.391502778;50.54077222;34547.82417;30.8;1;-270;6.3
63040;4.387730556;50.53945278;115619.7949;30.8;1;-270;6.4
26215;4.394391667;50.541225;31540.99888;30.8;1;-225;7.2
29373;4.388044444;50.53991389;34698.82592;30.8;1;-225;3.5
29703;4.391291667;50.54074722;35028.83539;30.8;1;-225;4.4
63007;4.387683333;50.53979722;115586.8248;30.8;1;-225;25.8
29855;4.388477778;50.54005833;35180.80957;30.8;1;-200;6.1
25808;4.392172222;50.54065833;31134.02564;30.8;1;-180;4.1
29658;4.392672222;50.54107222;34983.83012;30.8;1;-180;5.5
29213;4.391752778;50.54084722;34538.85008;30.8;1;-135;4.4
29371;4.387977778;50.53989444;34696.86915;30.8;1;-135;7.6
29660;4.392611111;50.54105833;34985.83363;30.8;1;-135;1.9
63066;4.387758333;50.53914444;115645.8012;30.8;1;-135;10.6
25799;4.392452778;50.54072778;31125.01095;30.8;1;-90;5.2
26317;4.391252778;50.54048056;31643.0017;30.8;1;-90;4.6
28669;4.394052778;50.54132222;33994.87299;30.8;1;-90;3.2
28679;4.393752778;50.54125833;34004.9071;30.8;1;-90;2.1
28760;4.391247222;50.54066944;34085.89035;30.8;1;-90;6.7
29602;4.394411111;50.54146944;34927.85034;30.8;1;-90;7.9
29713;4.390988889;50.54067778;35038.85923;30.8;1;-90;7.2
30546;4.393811111;50.54141389;35871.77825;30.8;1;-90;7.6
25806;4.392230556;50.540675;31132.02542;30.8;1;-45;1.4
26312;4.391408333;50.54051944;31637.9945;30.8;1;-45;1.1
28771;4.390919444;50.54059444;34096.86958;30.8;1;-45;7.4
29159;4.39345;50.54121667;34484.85516;30.8;1;-45;4.9
29221;4.391527778;50.54078056;34546.82147;30.8;1;-45;6.8
29696;4.391502778;50.54079722;35021.8197;30.8;1;-45;2.4
30066;4.394005556;50.54143333;35391.80963;30.8;1;-45;4.3
31025;4.394041667;50.54150278;36350.73568;30.8;1;-45;3.2
25798;4.392483333;50.54073611;31124.00807;30.8;1;0;4.6
25864;4.390486111;50.54023611;31189.97346;30.8;1;0;11.4
27759;4.394066667;50.54122778;33084.92654;30.8;1;0;4.6
28453;4.388561111;50.53993611;33778.88388;30.8;1;0;7.2
28789;4.390363889;50.54044722;34114.88677;30.8;1;0;6.1
29633;4.393436111;50.54126111;34958.82121;30.8;1;0;3.3
29635;4.393372222;50.54124444;34960.82756;30.8;1;0;0.9
29698;4.391441667;50.54078333;35023.82442;30.8;1;0;1.9
30130;4.392022222;50.54097778;35455.80099;30.8;1;0;4.3
62942;4.387669444;50.54047778;115521.8171;30.8;1;0;59.9
63006;4.387680556;50.53980556;115585.8201;30.8;1;0;22
63092;4.387788889;50.53881111;115671.7904;30.8;1;0;9.3
26286;4.392211111;50.54071667;31611.99949;30.8;1;40.90909091;6.6
24347;4.392766667;50.54066944;29673.10557;30.8;1;45;3.1
28678;4.393780556;50.54126389;34003.90545;30.8;1;45;6
29849;4.38825;50.54000556;35174.81935;30.8;1;45;6
30656;4.390438889;50.54061389;35981.75471;30.8;1;45;4.2
62961;4.387663889;50.54033056;115540.8105;30.8;1;45;8.8
24340;4.393022222;50.54073056;29666.06446;30.8;1;50;4.2
30769;4.387930556;50.54001389;36094.76084;30.8;1;50;0.7
12;4.387958333;50.53748889;5338.35232;30.8;1;90;0
24351;4.392619444;50.54063056;29677.06823;30.8;1;90;5.9
26219;4.394272222;50.54120278;31545.00403;30.8;1;90;4.5
28773;4.390855556;50.54057778;34098.87352;30.8;1;90;4.6
29854;4.388436111;50.54005;35179.83267;30.8;1;90;5.7
31096;4.391822222;50.54099722;36421.70977;30.8;1;90;3.6
63035;4.387719444;50.53951111;115614.7815;30.8;1;90;6.1
63043;4.387736111;50.53941667;115622.804;30.8;1;90;6.9
29653;4.392822222;50.54111111;34978.8502;30.8;1;100;3.7
25756;4.393738889;50.54102778;31082.01306;30.8;1;135;4.4
26287;4.392180556;50.54071111;31613.02556;30.8;1;135;6
26481;4.388836111;50.53987222;31806.96159;30.8;1;135;2.6
29700;4.391380556;50.54076944;35025.82734;30.8;1;135;2
30060;4.394197222;50.54146944;35385.80056;30.8;1;135;9.2
30527;4.3944;50.54153611;35852.78262;30.8;1;135;9.4
29407;4.389297222;50.54022778;34732.86962;30.8;1;150;8
8;4.387952778;50.53748611;5334.348155;30.8;1;180;0
25807;4.392202778;50.54066667;31133.02458;30.8;1;180;2.6
26342;4.390502778;50.54030278;31667.999;30.8;1;180;8.1
29601;4.394436111;50.54147222;34926.84689;30.8;1;180;10
29699;4.391411111;50.54077778;35024.82522;30.8;1;180;3.1
29840;4.387955556;50.53993611;35165.7979;30.8;1;200;6.727272727
29190;4.392480556;50.54099722;34515.88946;30.8;1;225;7.9
29191;4.392444444;50.54099167;34516.86576;30.8;1;225;6.777777778
29214;4.391722222;50.54083889;34539.85122;30.8;1;225;5.6
30115;4.392488889;50.54108611;35440.76475;30.8;1;225;6.2
30550;4.393686111;50.54138611;35875.78616;30.8;1;225;7.3
31084;4.392186111;50.54108611;36409.7295;30.8;1;225;5.8
62952;4.387666667;50.54042222;115531.8005;30.8;1;225;11.8
25746;4.394080556;50.54109722;31072.03193;30.8;1;270;7.1
25863;4.390513889;50.54023889;31188.9725;30.8;1;270;11.1
28456;4.388672222;50.53996111;33781.84403;30.8;1;270;5.6
29697;4.391472222;50.54079167;35022.82245;30.8;1;270;3.8
29701;4.391352778;50.54076111;35026.8306;30.8;1;270;4.9
25862;4.390544444;50.54024722;31187.99311;30.8;1;300;9.4
29142;4.393986111;50.54134167;34467.83671;30.8;1;300;5.9
25832;4.391413889;50.54046944;31158.01933;30.8;1;315;4.9
28455;4.388636111;50.53995278;33780.8422;30.8;1;315;5.6
28770;4.390947222;50.5406;34095.86844;30.8;1;315;6.2
28784;4.390519444;50.54048611;34109.90108;30.8;1;315;5.3
29659;4.392644444;50.54106389;34984.83296;30.8;1;315;0.9
29848;4.388213889;50.53999722;35173.81757;30.8;1;315;4.1
30528;4.394372222;50.54153056;35853.7866;30.8;1;315;10.7
31097;4.391791667;50.54098889;36422.71196;30.8;1;315;5.2
29714;4.390958333;50.54066944;35039.83591;30.8;1;350;8.1
25800;4.392419444;50.54071944;31126.01112;30.8;1;360;6.3
26279;4.392427778;50.54076667;31605.00965;30.8;1;360;5.9
27865;4.390736111;50.54046111;33190.93114;30.8;1;360;6.3
28468;4.389111111;50.54007778;33793.87514;30.8;1;360;4.1
28742;4.391797222;50.54079722;34067.89958;30.8;1;360;2.2
29187;4.392572222;50.54101389;34512.83373;30.8;1;360;7
29612;4.394088889;50.54140556;34937.87226;30.8;1;360;3.7
28667;4.394116667;50.54133611;33992.89661;30.8;1;400;6.1
29613;4.394055556;50.54140278;34938.84865;30.8;1;400;5.7
29375;4.388119444;50.53993333;34700.8296;30.8;1;405;2.1
30053;4.394397222;50.54150556;35378.78409;30.8;1;405;5.1
25835;4.391322222;50.54044444;31161.00026;30.8;1;409.0909091;5.1
26233;4.393841667;50.54110278;31559.03173;30.8;1;450;6.5
26289;4.392119444;50.54069444;31614.98244;30.8;1;450;5.6
27761;4.394005556;50.54121389;33086.9375;30.8;1;450;4
29137;4.394138889;50.54137222;34462.84995;30.8;1;450;1.9
29619;4.393872222;50.54135556;34944.83819;30.8;1;450;6.5
29694;4.391561111;50.54081389;35019.86476;30.8;1;450;6.5
62954;4.387666667;50.54040556;115533.8012;30.8;1;450;11.4
63025;4.387694444;50.53961667;115604.8113;30.8;1;450;12.5
24541;4.387994444;50.53950278;29867.10527;30.8;1;495;6.3
28672;4.393963889;50.54130556;33997.87969;30.8;1;495;6.7
28785;4.390486111;50.54047778;34110.90491;30.8;1;495;3.2
29646;4.393030556;50.54116111;34971.83524;30.8;1;500;4.9
24589;4.389469444;50.53986667;29915.09308;30.8;1;531.8181818;5.6
26238;4.393688889;50.54106667;31563.99647;30.8;1;540;5.8
28766;4.391069444;50.54062778;34091.86436;30.8;1;540;7.7
29618;4.393902778;50.54136389;34943.83559;30.8;1;540;8.9
29620;4.393841667;50.54135;34945.84105;30.8;1;540;6.9
29652;4.392852778;50.54111667;34977.87324;30.8;1;540;1.7
30070;4.393880556;50.54141389;35395.76778;30.8;1;540;6.7
26336;4.390675;50.54034444;31661.99419;30.8;1;585;4.5
27868;4.390641667;50.54043611;33193.93679;30.8;1;585;6.4
28441;4.388141667;50.53983056;33766.85559;30.8;1;585;6.2
28764;4.391127778;50.54064167;34089.85774;30.8;1;585;6.8
28768;4.391008333;50.54061389;34093.86676;30.8;1;585;9.4
28769;4.390977778;50.54060833;34094.86722;30.8;1;585;1.2
29151;4.393702778;50.54128333;34476.86004;30.8;1;585;3.636363636
62989;4.387675;50.53996944;115568.7875;30.8;1;585;12.7
28746;4.391672222;50.54076944;34071.88832;30.8;1;613.6363636;6.2
25801;4.392388889;50.54071111;31127.01371;30.8;1;630;4.5
26237;4.393719444;50.54107222;31562.99584;30.8;1;630;5.4
26272;4.392636111;50.54081944;31597.9921;30.8;1;630;5
28451;4.388488889;50.53991667;33776.87731;30.8;1;630;6.2
28767;4.391038889;50.54062222;34092.86623;30.8;1;630;9.1
28772;4.390888889;50.54058611;34097.871;30.8;1;630;6.3
29149;4.393763889;50.54129722;34474.83027;30.8;1;630;2.5
29411;4.389441667;50.54026111;34736.84972;30.8;1;630;6.8
